,id,result_desc,param1,param2,r2_score_mean,mse_mean,rmse_mean,r2_score_stddev,mse_score_stddev,rmse_score_stddev,memory_used_mean,time_mean,memory_used_stddev,time_stddev
6,ID7n_estimators150_window_size1.0,ETERRY-Human1DistTSFreshWin_GradBoost_n_estimators=150_window_size_1.0,150,1.0,0.8745852263646633,1.2653133276050668,1.1243718141267363,0.010536518947263016,0.07432623291276438,0.03318661179480443,1425408.0,10.143925441009923,34382679.88451023,0.16927230362368648
11,ID12num_kernels1000_n_estimators20,ETERRY-Human1Dist_MiniRocket_GradBoost_num_kernels=1000_n_estimators_20,1000,20.0,0.8730461490164545,1.2966243064360592,1.123178666050935,0.03600361694874028,0.4602837179785442,0.18733390126750019,515276.8,7.993512420798652,84164565.9954577,0.12253207997863186
8,ID9num_kernels1000_max_alpha20,ETERRY-Human1Dist_MiniRocket_Ridge_num_kernels=1000_max_alpha_20,1000,20.0,0.8713913729641621,1.29919111277733,1.1365358184239334,0.019698193949229705,0.1958471009666234,0.0864722280085906,2115174.4,3.4277202867902816,5463545.435302963,0.24365443538667256
9,ID10num_kernels1000_n_estimators150,ETERRY-Human1Dist_MiniRocket_GradBoost_num_kernels=1000_n_estimators_150,1000,150.0,0.8700237681293157,1.331576675884006,1.134030822182859,0.04117178388260268,0.45859587865269036,0.2134262641365275,370278.4,39.73962564477697,27753813.35717755,0.1466296693999738
14,ID15num_kernels2000_n_estimators50,ETERRY-Human1Dist_MiniRocket_GradBoost_num_kernels=2000_n_estimators_50,2000,50.0,0.8698490504890524,1.3233333457769905,1.1399091154724226,0.031505846065531654,0.3261916475608065,0.1547273545300559,-36044.8,31.854521090188065,205346.49645357963,0.07352836091501953
10,ID11num_kernels1000_n_estimators50,ETERRY-Human1Dist_MiniRocket_GradBoost_num_kernels=1000_n_estimators_50,1000,50.0,0.8695380428622063,1.3254496681129653,1.1463383086726542,0.021582966817103047,0.24996560165154696,0.10657462260071084,419430.4,15.52179083840456,1083388.825401776,0.214339157992097
11,ID12num_kernels2000_max_alpha20,ETERRY-Human1Dist_MiniRocket_Ridge_num_kernels=2000_max_alpha_20,2000,20.0,0.8694169990698329,1.3210337296308905,1.1480503966083533,0.013956342467299902,0.1260391925268752,0.0549000590008107,2150400.0,5.351805042801425,12687513.75609819,0.1277704870552271
7,ID8num_kernels1000_max_alpha10,ETERRY-Human1Dist_MiniRocket_Ridge_num_kernels=1000_max_alpha_10,1000,10.0,0.867491277951254,1.321646682089375,1.1464983068367895,0.02709612046679717,0.19227271270669638,0.08478392836941194,1984921.6,3.3055502021918075,4692589.403041081,0.07897746538126314
6,ID7num_kernels1000_max_alpha5,ETERRY-Human1Dist_MiniRocket_Ridge_num_kernels=1000_max_alpha_5,1000,5.0,0.8669609184206554,1.3265209893534367,1.1501896178720898,0.022749097808382815,0.13826140795610448,0.059873469021701035,5981798.4,3.4428353626281023,14542161.562033748,0.22772055730702903
2,ID3max_alpha5_window_size2.0,ETERRY-Human1Dist_TSFreshWin_Ridge_max_alpha=5_window_size_2.0,5,2.0,0.8662952351409274,1.352162456801259,1.1574407656504868,0.02395144749611926,0.2632400521447177,0.11177356937878338,1624473.6,7.4530469896039,57234104.78770868,0.14088562834437454
