,id,result_desc,param1,param2,r2_score_mean,mse_mean,rmse_mean,r2_score_stddev,mse_score_stddev,rmse_score_stddev,memory_used_mean,time_mean,memory_used_stddev,time_stddev
10,ID11n_estimators50_window_size0.5,ETERRY-Human1Dist_TSForest_n_estimators=50_window_size_0.5,50,0.5,0.831501470605291,1.7135110728220802,1.3062621806012686,0.01286453610463568,0.21960425706987569,0.08479497834718207,278528.0,5.295134428981692,822865.9095507603,0.07332296800387253
11,ID12n_estimators50_window_size1.0,ETERRY-Human1Dist_TSForest_n_estimators=50_window_size_1.0,50,1.0,0.8225965910483017,1.7933354291237962,1.3331225846167647,0.03274332314786233,0.327980597164229,0.1269630005494203,1427046.4,5.287367720180191,4695645.96789194,0.10944076562590689
12,ID13n_estimators50_window_size2.0,ETERRY-Human1Dist_TSForest_n_estimators=50_window_size_2.0,50,2.0,0.8224861002811099,1.797568008143776,1.3375494838178685,0.02253803407707489,0.24438492701115686,0.09235467764184642,1721958.4,5.323421926982701,5580967.129328665,0.10192845511088144
13,ID14n_estimators50_window_size5.0,ETERRY-Human1Dist_TSForest_n_estimators=50_window_size_5.0,50,5.0,0.8239555569163161,1.7759118837345433,1.321043273619623,0.04639221802080081,0.45285332856635174,0.17537546281875602,1623654.4,5.374676870414987,4028038.638065012,0.0883568165685916
14,ID15n_estimators50_window_size10.0,ETERRY-Human1Dist_TSForest_n_estimators=50_window_size_10.0,50,10.0,0.82199667994932,1.7761459902551753,1.3309173221724102,0.03163814234536261,0.1853997110673919,0.06931862517820171,1853030.4,5.415585763799027,7739600.5257539125,0.038390861100343045
15,ID16n_estimators20_window_size0.5,ETERRY-Human1Dist_TSForest_n_estimators=20_window_size_0.5,20,0.5,0.8171488889204671,1.846564676762408,1.3544254995629579,0.029800933068447038,0.30256080841594524,0.10998292092884143,1454080.0,4.2757506822003055,6434464.271482063,0.10109149723678634
16,ID17n_estimators20_window_size1.0,ETERRY-Human1Dist_TSForest_n_estimators=20_window_size_1.0,20,1.0,0.8056603890495353,1.9510745430228364,1.3913864140874455,0.03323440187735118,0.335019286884895,0.1229568611982127,1778483.2,4.3589927620021625,3643403.765332325,0.18901920654682722
17,ID18n_estimators20_window_size2.0,ETERRY-Human1Dist_TSForest_n_estimators=20_window_size_2.0,20,2.0,0.823613397075498,1.7779799995081234,1.3304740101242754,0.024462620185516218,0.22732313791644757,0.08842458872933952,1539276.8,4.397704589995556,5099217.248908636,0.2199347579212089
18,ID19n_estimators20_window_size5.0,ETERRY-Human1Dist_TSForest_n_estimators=20_window_size_5.0,20,5.0,0.8144844512893045,1.8571144689726868,1.3604505294143812,0.025173025603119265,0.2125501076256562,0.07930211843839519,2302771.2,4.257520077377558,8074447.36610318,0.10843428407810776
19,ID20n_estimators20_window_size10.0,ETERRY-Human1Dist_TSForest_n_estimators=20_window_size_10.0,20,10.0,0.8211999881020431,1.8055649804671863,1.3306264730194428,0.04702749397531705,0.4561759566220813,0.18707797777136698,1135411.2,4.353036394412629,4050569.503093924,0.06356190391501529
