,decision_node,front_all_tests_size,tests_chosen_count,all_tests_count,all_tests_hypervolume,all_tests_igd,decision_node_hypervolume,decision_node_igd,front_from_decision_node_size,quality_indicators_for_front,quality_indicators_all_tests,proportion_of_ref_tests_included
43,SimAnnealingMulti(210),7,99,518,12.406107835597329,0.0,12.328956036664723,0.19199754229898264,3,"{'hypervolume': np.float64(12.328956036664723), 'igd': np.float64(0.19199754229898264)}","{'hypervolume': np.float64(12.406107835597329), 'igd': np.float64(0.0)}",0.42857142857142855
44,SimAnnealingMulti(250),7,116,518,12.406107835597329,0.0,12.384453477913254,0.0771392714792001,4,"{'hypervolume': np.float64(12.384453477913254), 'igd': np.float64(0.0771392714792001)}","{'hypervolume': np.float64(12.406107835597329), 'igd': np.float64(0.0)}",0.5714285714285714
45,SimAnnealingMulti(290),7,119,518,12.406107835597329,0.0,12.328956036664723,0.19199754229898264,3,"{'hypervolume': np.float64(12.328956036664723), 'igd': np.float64(0.19199754229898264)}","{'hypervolume': np.float64(12.406107835597329), 'igd': np.float64(0.0)}",0.42857142857142855
46,SimAnnealingMulti(330),7,153,518,12.406107835597329,0.0,12.394506862653001,0.07007491772121636,5,"{'hypervolume': np.float64(12.394506862653001), 'igd': np.float64(0.07007491772121636)}","{'hypervolume': np.float64(12.406107835597329), 'igd': np.float64(0.0)}",0.7142857142857143
47,SimAnnealingMulti(370),7,167,518,12.406107835597329,0.0,12.405069073254165,0.011905902715616114,5,"{'hypervolume': np.float64(12.405069073254165), 'igd': np.float64(0.011905902715616114)}","{'hypervolume': np.float64(12.406107835597329), 'igd': np.float64(0.0)}",0.7142857142857143
48,SimAnnealingMulti(410),7,167,518,12.406107835597329,0.0,12.387956973685936,0.0769688839405648,4,"{'hypervolume': np.float64(12.387956973685936), 'igd': np.float64(0.0769688839405648)}","{'hypervolume': np.float64(12.406107835597329), 'igd': np.float64(0.0)}",0.42857142857142855
49,SimAnnealingMulti(450),7,201,518,12.406107835597329,0.0,12.384453477913254,0.0771392714792001,4,"{'hypervolume': np.float64(12.384453477913254), 'igd': np.float64(0.0771392714792001)}","{'hypervolume': np.float64(12.406107835597329), 'igd': np.float64(0.0)}",0.5714285714285714
50,SimAnnealingMulti(490),7,187,518,12.406107835597329,0.0,12.393483834208432,0.0771392714792001,4,"{'hypervolume': np.float64(12.393483834208432), 'igd': np.float64(0.0771392714792001)}","{'hypervolume': np.float64(12.406107835597329), 'igd': np.float64(0.0)}",0.5714285714285714
51,SimAnnealingMulti(530),7,204,518,12.406107835597329,0.0,12.396054450857582,0.007064353757983753,6,"{'hypervolume': np.float64(12.396054450857582), 'igd': np.float64(0.007064353757983753)}","{'hypervolume': np.float64(12.406107835597329), 'igd': np.float64(0.0)}",0.8571428571428571
52,SimAnnealingMulti(570),7,214,518,12.406107835597329,0.0,12.384453477913254,0.0771392714792001,4,"{'hypervolume': np.float64(12.384453477913254), 'igd': np.float64(0.0771392714792001)}","{'hypervolume': np.float64(12.406107835597329), 'igd': np.float64(0.0)}",0.5714285714285714
53,SimAnnealingMulti(610),7,221,518,12.406107835597329,0.0,12.34055700960905,0.12192262457776626,5,"{'hypervolume': np.float64(12.34055700960905), 'igd': np.float64(0.12192262457776626)}","{'hypervolume': np.float64(12.406107835597329), 'igd': np.float64(0.0)}",0.7142857142857143
54,SimAnnealingMulti(650),7,238,518,12.406107835597329,0.0,12.393499568107027,0.07229772252156776,5,"{'hypervolume': np.float64(12.393499568107027), 'igd': np.float64(0.07229772252156776)}","{'hypervolume': np.float64(12.406107835597329), 'igd': np.float64(0.0)}",0.7142857142857143
55,SimAnnealingMulti(690),7,256,518,12.406107835597329,0.0,12.396054450857582,0.007064353757983753,6,"{'hypervolume': np.float64(12.396054450857582), 'igd': np.float64(0.007064353757983753)}","{'hypervolume': np.float64(12.406107835597329), 'igd': np.float64(0.0)}",0.8571428571428571
