,id,result_desc,param1,param2,r2_score_mean,mse_mean,rmse_mean,r2_score_stddev,mse_score_stddev,rmse_score_stddev,memory_used_mean,timediff_mean
2,ID3num_kernels100_n_estimators100,ETERRY-HumanDist_MiniRocket_GradBoost_num_kernels=100_n_estimators_100,100,100.0,0.14536813543915625,1.8174543035536233,1.3477456508927397,0.04046610656810698,0.0856291036797156,0.03218639546965778,0.0,1.7004699051991339
3,ID4num_kernels100_n_estimators50,ETERRY-HumanDist_MiniRocket_GradBoost_num_kernels=100_n_estimators_50,100,50.0,0.13210107020127945,1.8392554193332213,1.3545556898980717,0.036555343918643096,0.17833880063389504,0.06659055712321815,0.0,1.5426322062005056
1,ID2num_kernels100_n_estimators200,ETERRY-HumanDist_MiniRocket_GradBoost_num_kernels=100_n_estimators_200,100,200.0,0.10585296227691779,1.9052303354436009,1.379987694178958,0.022089812032768597,0.08121947648772795,0.029398968659523142,0.0,2.0124517352029216
5,ID6num_kernels100_n_estimators5,ETERRY-HumanDist_MiniRocket_GradBoost_num_kernels=100_n_estimators_5,100,5.0,0.1041946579489855,1.9064956911326807,1.3803631055503605,0.019056542560802556,0.09110975923065746,0.03306641752662282,0.0,1.4081205514026807
0,ID1num_kernels100_n_estimators300,ETERRY-HumanDist_MiniRocket_GradBoost_num_kernels=100_n_estimators_300,100,300.0,0.09470957500025616,1.9182239871005926,1.3844029735842276,0.06985628642004789,0.11207245097976663,0.04064964737535974,0.0,2.318395248003071
10,ID11max_alpha10_window_size10.0,ETERRY-HumanDist_TSFreshWin_Ridge_max_alpha=10_window_size_10.0,10,10.0,0.00042846626643961995,2.122602893921675,1.456414351698752,0.00806586011288665,0.11079472738499413,0.038211648584938994,0.0,3.270765585399931
17,ID18max_alpha20_window_size20.0,ETERRY-HumanDist_TSFreshWin_Ridge_max_alpha=20_window_size_20.0,20,20.0,-0.0010500082371215802,2.1321188391082226,1.4597870730465718,0.001038815603131967,0.0985277865240985,0.03377188881815766,0.0,3.183339295597398
23,ID24n_estimators50_window_size20.0,ETERRY-HumanDistTSFreshWin_GradBoost_n_estimators=50_window_size_20.0,50,20.0,-0.0010633703244937731,2.132629238220827,1.460071372014283,0.0014692118562158857,0.08426320224503087,0.028650075831607138,0.0,3.1206091172003654
5,ID6max_alpha5_window_size20.0,ETERRY-HumanDist_TSFreshWin_Ridge_max_alpha=5_window_size_20.0,5,20.0,-0.0011810411582759083,2.132623443714769,1.4594249814434956,0.0009243032208006716,0.1541880537903088,0.05198237444962533,0.0,3.160801532800542
34,ID35n_estimators5_window_size10.0,ETERRY-HumanDistTSFreshWin_GradBoost_n_estimators=5_window_size_10.0,5,10.0,-0.0014953771209978983,2.13203456703397,1.4591329541436833,0.0014404803065088758,0.1597489993694867,0.054457223266501986,0.0,3.238835750403814
