,id,result_desc,param1,param2,r2_score_mean,mse_mean,rmse_mean,r2_score_stddev,mse_score_stddev,rmse_score_stddev,memory_used_mean,timediff_mean
12,ID13n_estimators100_window_size0.5,Mycobot-Fourjoints_TSForest_n_estimators=100_window_size_0.5,100,0.5,0.6969035564991856,0.007824712223007622,0.08750636229677519,0.10446612870296704,0.0024511025719207427,0.0129363356710139,0.0,7.900017594799829
2,ID3n_estimators100_window_size0.3,Mycobot-Fourjoints_TSForest_n_estimators=100_window_size_0.3,100,0.3,0.6953264461630431,0.008096481011512181,0.08898376957166335,0.05424095815122333,0.002186201704968869,0.01335551437906077,0.0,7.791807079999989
1,ID2n_estimators300_window_size1.0,Mycobot-Fourjoints_TSForest_n_estimators=300_window_size_1.0,300,1.0,0.6937128112532527,0.008019663661971592,0.08855294365640227,0.07062778430805935,0.0023874319972887327,0.013343156738854518,0.0,15.287099021400172
19,ID20n_estimators50_window_size1.0,Mycobot-Fourjoints_TSForest_n_estimators=50_window_size_1.0,50,1.0,0.692799921515262,0.008006463069581318,0.08857210047498784,0.08626068281727173,0.0022454887819090582,0.0127061436726482,0.0,6.273564600999999
17,ID18n_estimators100_window_size20.0,Mycobot-Fourjoints_TSForest_n_estimators=100_window_size_20.0,100,20.0,0.692230481866934,0.00809687877659837,0.08892694498583698,0.08152727810465618,0.002557634746594082,0.013743261333624397,0.0,7.940541361999931
21,ID22n_estimators50_window_size5.0,Mycobot-Fourjoints_TSForest_n_estimators=50_window_size_5.0,50,5.0,0.6913038525421568,0.008294937580299946,0.08873097152773397,0.11437991155489574,0.003678714604894712,0.020536608094921856,0.0,6.352982349399826
4,ID5n_estimators25_window_size0.3,Mycobot-Fourjoints_TSForest_n_estimators=25_window_size_0.3,25,0.3,0.6906982885869544,0.008027169914452181,0.089422536438765,0.037775835903818784,0.0009956117035554014,0.005547962807187098,0.0,5.647658374599951
18,ID19n_estimators50_window_size0.5,Mycobot-Fourjoints_TSForest_n_estimators=50_window_size_0.5,50,0.5,0.6892394738756425,0.008151270884358044,0.0890988189217061,0.08927354795019207,0.0025281189823050227,0.014583255847548967,0.0,6.314698169999974
23,ID24n_estimators50_window_size20.0,Mycobot-Fourjoints_TSForest_n_estimators=50_window_size_20.0,50,20.0,0.6885076827749502,0.00818487591043697,0.08928233425925977,0.08874117532322368,0.002600579768256847,0.014613031843350593,0.0,6.387629631600066
1,ID2n_epochs1500_kernel_size40,Mycobot-Fourjoints_InceptionTime_n_epochs=1500_kernel_size_40,1500,40.0,0.6884919910194627,0.008280404444996546,0.08961135568116524,0.0886682440729225,0.0030565022404561155,0.015818008028201307,0.0,1283.5946883173997
