,decision_node,front_all_tests_size,tests_chosen_count,all_tests_count,all_tests_hypervolume,all_tests_igd,decision_node_hypervolume,decision_node_igd,front_from_decision_node_size,quality_indicators_for_front,quality_indicators_all_tests,proportion_of_ref_tests_included
55,SimAnnealingSingle(1370),18,305,476,6.681596709036519,0.0,4.754802880523245,0.23769228132150597,12,"{'hypervolume': np.float64(4.754802880523245), 'igd': np.float64(0.23769228132150597)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.3888888888888889
56,SimAnnealingSingle(1410),18,287,476,6.681596709036519,0.0,5.387631439730937,0.12393284974156761,15,"{'hypervolume': np.float64(5.387631439730937), 'igd': np.float64(0.12393284974156761)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.5
57,SimAnnealingSingle(1450),18,319,476,6.681596709036519,0.0,5.8576565193292645,0.10607303312581873,16,"{'hypervolume': np.float64(5.8576565193292645), 'igd': np.float64(0.10607303312581873)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.7222222222222222
58,SimAnnealingSingle(1490),18,322,476,6.681596709036519,0.0,6.676723829094811,0.02790944784382489,16,"{'hypervolume': np.float64(6.676723829094811), 'igd': np.float64(0.02790944784382489)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.8333333333333334
59,SimAnnealingMulti(10),18,22,476,6.681596709036519,0.0,6.361921898135257,0.31264207646055603,6,"{'hypervolume': np.float64(6.361921898135257), 'igd': np.float64(0.31264207646055603)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.16666666666666666
60,SimAnnealingMulti(50),18,48,476,6.681596709036519,0.0,6.4371757313790035,0.20962329693568355,8,"{'hypervolume': np.float64(6.4371757313790035), 'igd': np.float64(0.20962329693568355)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.2222222222222222
61,SimAnnealingMulti(90),18,56,476,6.681596709036519,0.0,6.444907412277185,0.2172930779661384,8,"{'hypervolume': np.float64(6.444907412277185), 'igd': np.float64(0.2172930779661384)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.2777777777777778
62,SimAnnealingMulti(130),18,64,476,6.681596709036519,0.0,6.408588850855175,0.24823515128773155,9,"{'hypervolume': np.float64(6.408588850855175), 'igd': np.float64(0.24823515128773155)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.16666666666666666
63,SimAnnealingMulti(170),18,92,476,6.681596709036519,0.0,6.447718334387337,0.1884732365561615,11,"{'hypervolume': np.float64(6.447718334387337), 'igd': np.float64(0.1884732365561615)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.2777777777777778
64,SimAnnealingMulti(210),18,95,476,6.681596709036519,0.0,6.497187194152183,0.1844159467069474,12,"{'hypervolume': np.float64(6.497187194152183), 'igd': np.float64(0.1844159467069474)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.4444444444444444
65,SimAnnealingMulti(250),18,108,476,6.681596709036519,0.0,6.511027304805841,0.18238367443769773,10,"{'hypervolume': np.float64(6.511027304805841), 'igd': np.float64(0.18238367443769773)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.3888888888888889
66,SimAnnealingMulti(290),18,116,476,6.681596709036519,0.0,6.523038784766628,0.17078879845623357,12,"{'hypervolume': np.float64(6.523038784766628), 'igd': np.float64(0.17078879845623357)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.3888888888888889
67,SimAnnealingMulti(330),18,144,476,6.681596709036519,0.0,6.569391891239777,0.0869797360211456,14,"{'hypervolume': np.float64(6.569391891239777), 'igd': np.float64(0.0869797360211456)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.5
